0.4	0.2	0.034	0.063	0,12	0,03	eta	287	22	0,03	9
0.6	0.3	0.034	0.063	0,06	0,00	eta	53	0	0,00	0
0.8	0.4	0.034	0.063	0,08	0,00	eta	53	0	0,00	0
0.2	0.1	0.062	0.061	0,35	0,80	pi	15	149	0,19	12
0.4	0.2	0.062	0.061	0,33	0,75	pi	4	171	0,21	3
0.6	0.3	0.062	0.061	0,29	1,00	pi	5	153	0,19	5
0.8	0.4	0.062	0.061	0,29	1,00	pi	8	203	0,25	8
1.0	0.5	0.062	0.061	0,29	1,00	pi	3	158	0,20	3
0.2	0.1	0.046	0.0594	0,27	0,58	iota	12	112	0,14	7
0.6	0.3	0.046	0.0594	0,32	0,75	iota	8	189	0,24	6
0.8	0.4	0.046	0.0594	0,29	0,71	iota	7	190	0,24	5
0.2	0.1	0.03	0.057	0,37	1,00	theta	29	243	0,30	25
0.2	0.1	0.038	0.061	0,29	0,35	theta	152	146	0,18	53
0.4	0.2	0.03	0.057	0,34	0,92	theta	13	315	0,39	12
0.4	0.2	0.038	0.061	0,26	0,50	theta	56	166	0,21	28
0.6	0.3	0.03	0.057	0,34	0,88	theta	8	333	0,42	7
0.6	0.3	0.038	0.061	0,19	0,35	theta	46	68	0,09	16
0.8	0.4	0.03	0.057	0,34	1,00	theta	6	232	0,29	6
0.8	0.4	0.038	0.061	0,25	0,24	theta	21	132	0,17	5
1.0	0.5	0.038	0.061	0,25	0,00	theta	18	0	0,00	0
0.2	0.1	0.046	0.065	0,16	0,04	mu	430	33	0,04	17
0.2	0.1	0.058	0.065	0,14	0,06	mu	527	43	0,05	31
0.4	0.2	0.046	0.065	0,13	0,06	mu	65	8	0,01	4
0.4	0.2	0.058	0.065	0,15	0,17	mu	88	64	0,08	15
0.6	0.3	0.046	0.065	0,04	0,00	mu	4	0	0,00	0
0.6	0.3	0.058	0.065	0,05	0,25	mu	12	6	0,01	3
0.8	0.4	0.058	0.065	0,01	1,00	mu	2	5	0,01	2
0.2	0.1	0.014	0.047	0,24	0,21	xi	122	106	0,13	26
0.4	0.2	0.014	0.047	0,23	0,32	xi	22	102	0,13	7
0.6	0.3	0.014	0.047	0,19	0,53	xi	15	108	0,14	8
0.4	0.2	0.09	0.059	0,18	0,53	rho	17	141	0,18	9
0.4	0.2	0.102	0.055	0,17	0,58	rho	31	117	0,15	18
0.6	0.3	0.09	0.059	0,19	0,80	rho	5	205	0,26	4
0.6	0.3	0.102	0.055	0,11	0,59	rho	22	131	0,16	13
0.8	0.4	0.09	0.059	0,18	1,00	rho	2	150	0,19	2
0.8	0.4	0.102	0.055	0,10	0,79	rho	14	116	0,15	11
1.0	0.5	0.09	0.059	0,19	0,50	rho	2	238	0,30	1
1.0	0.5	0.102	0.055	0,10	0,69	rho	13	101	0,13	9
0.4	0.2	0.11	0.0523	0,90	0,86	sigma	7	791	0,99	6
0.6	0.3	0.0367	0.0649	0,04	0,00	lambda	80	0	0,00	0
1	0.5	0.01	0.047	0,11	0,07	epilson	30	18	0,02	2
0.6	0.3	0.018	0.055	0,12	0,00	epilson	134	0	0,00	0
